iso3,country,name,position,start_year,end_year,status,source_scraped,source_dataset,dataset_url
ARG,Argentina,Miguel Angel Pesce,President / Governor,2019,En cargo,Actual,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARM,Armenia,Isahak Isahakyan,President / Governor,1986,1994,Histórico,http://www.cba.am/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARM,Armenia,Bagrat Asatryan,President / Governor,1994,1998,Histórico,http://www.cba.am/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARM,Armenia,Tigran Sargsyan,President / Governor,1998,2008,Histórico,http://www.cba.am/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARM,Armenia,Martin Galstyan,President / Governor,2020,En cargo,Actual,http://www.cba.am/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,H. Mehran,President / Governor,1986,1986,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,A. J.T. Williams,President / Governor,1986,1988,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,E. den Dunnen,President / Governor,1988,1991,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,A. S. Irausquin,President / Governor,1991,1995,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,J-H. du Marchie Sarvaas,President / Governor,1995,2000,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,A. R. Caram,President / Governor,2000,2004,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,R. Henriquez,President / Governor,2004,2007,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,Hassanali Mehran,President / Governor,2007,2008,Histórico,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ABW,Aruba,Jeanette R. Semeleer,President / Governor,2008,En cargo,Actual,http://www.cbaruba.org/cba/getPage.do?page=ABOUT_US_HISTORY,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Herbert Cole (Nugget) Coombs,President / Governor,1960,1968,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,John Grant (Jock) Phillips,President / Governor,1968,1975,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Harold Murray (Harry) Knight,President / Governor,1975,1982,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Robert Alan (Bob) Johnston,President / Governor,1982,1989,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Bernard William (Bernie) Fraser,President / Governor,1989,1996,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Ian John Macfarlane,President / Governor,1996,2006,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Glenn Robert Stevens,President / Governor,2006,2016,Histórico,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUS,Australia,Philip William Lowe (present term ends 17-09-2023),President / Governor,2016,En cargo,Actual,http://www.rba.gov.au/AboutTheRBA/History/governors_of_the_rba.html,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Wolfgang Schmitz,President / Governor,1968,1973,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Hans Kloss,President / Governor,1973,1978,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Stefan Koren,President / Governor,1978,1988,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Herbert Koller,President / Governor,1988,1988,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Hellmuth Klauhs,President / Governor,1988,1990,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Heinz Kienzl,President / Governor,1990,1990,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Maria Schaumayer,President / Governor,1990,1995,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Klaus Liebscher,President / Governor,1995,2008,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Ewald Nowotny,President / Governor,2008,2019,Histórico,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AUT,Austria,Robert Holzmann,President / Governor,2019,En cargo,Actual,http://www.oenb.at/,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AZE,Azerbaijan,Cavanşir Abdullayev,President / Governor,1992,1993,Histórico,http://www.cbar.az/en,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AZE,Azerbaijan,Qalib Ağayev,President / Governor,1993,1994,Histórico,http://www.cbar.az/en,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AZE,Azerbaijan,Elman Rustamov,President / Governor,1995,2022,Histórico,http://www.cbar.az/en,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
AZE,Azerbaijan,Taleh Tahir Kazimov,President / Governor,2022,En cargo,Actual,http://www.cbar.az/en,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
BHS,"Bahamas, The",Timothy B. Donaldson,President / Governor,1974,1980,Histórico,http://centralbankbahamas.com/about_board.lasso,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
BHS,"Bahamas, The",William C. Allen,President / Governor,1980,1987,Histórico,http://centralbankbahamas.com/about_board.lasso,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
