country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Austria;European Central Bank ( Oesterreichische Nationalbank );Ewald Nowotny;President / Governor;2008;2019;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Robert Holzmann;President / Governor;2019;En cargo;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Azerbaijan;Central Bank of Azerbaijan;Cavanşir Abdullayev;President / Governor;1992;1993;kof;kof_workbook_governors_v2023;https://www.cbar.az;AZE
Azerbaijan;Central Bank of Azerbaijan;Qalib Ağayev;President / Governor;1993;1994;kof;kof_workbook_governors_v2023;https://www.cbar.az;AZE
Azerbaijan;Central Bank of Azerbaijan;Elman Rustamov;President / Governor;1995;2022;kof;kof_workbook_governors_v2023;https://www.cbar.az;AZE
Azerbaijan;Central Bank of Azerbaijan;Taleh Tahir Kazimov;President / Governor;2022;En cargo;kof;kof_workbook_governors_v2023;https://www.cbar.az;AZE
Bahamas, The;;Timothy B. Donaldson;President / Governor;1974;1980;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahamas, The;;William C. Allen;President / Governor;1980;1987;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahamas, The;;James H. Smith;President / Governor;1987;1997;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahamas, The;;Julian W. Francis;President / Governor;1997;2005;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahamas, The;;Wendy M. Craigg;President / Governor;2005;2015;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahamas, The;;John A. Rolle;President / Governor;2016;En cargo;kof;kof_workbook_governors_v2023;https://www.centralbankbahamas.com;BHS
Bahrain;Central Bank of Bahrain;Shaikh Abdulla bin Khalifa Al Khalifa;President / Governor;1999;2001;kof;kof_workbook_governors_v2023;https://www.cbb.gov.bh;BHR
Bahrain;Central Bank of Bahrain;Rasheed Mohammed Al Maraj;President / Governor;2005;En cargo;kof;kof_workbook_governors_v2023;https://www.cbb.gov.bh;BHR
Bangladesh;Bangladesh Bank;A.N. Hamidullah;President / Governor;1972;1974;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;A.K.N. Ahmed;President / Governor;1974;1976;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;M. Nurul Islam;President / Governor;1976;1987;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Shegufta Bakht Chaudhuri;President / Governor;1987;1992;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Khorshed Alam;President / Governor;1992;1996;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Lutfar Rahman Sarkar;President / Governor;1996;1998;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Mohammed Farashuddin;President / Governor;1998;2001;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Fakhruddin Ahmed;President / Governor;2001;2005;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Salehuddin Ahmed;President / Governor;2005;2009;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Atiur Rahman;President / Governor;2009;2016;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Fazle Kabir;President / Governor;2016;2022;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bangladesh;Bangladesh Bank;Abdur Rouf Talukder;President / Governor;2022;En cargo;kof;kof_workbook_governors_v2023;https://www.bb.org.bd;BGD
Bank of Central African States;;Christian Joudiou;President / Governor;1972;1978;kof;kof_workbook_governors_v2023;https://www.beac.int/beac/le-gouvernement-de-la-banque/;BEAC
Bank of Central African States;;Casimir Oye-Mba;President / Governor;1978;1990;kof;kof_workbook_governors_v2023;https://www.beac.int/beac/le-gouvernement-de-la-banque/;BEAC
Bank of Central African States;;Jean-Felix Mamalepot;President / Governor;1990;2007;kof;kof_workbook_governors_v2023;https://www.beac.int/beac/le-gouvernement-de-la-banque/;BEAC
Bank of Central African States;;Lucas Abaga Nchama;President / Governor;2010;2017;kof;kof_workbook_governors_v2023;https://www.beac.int/beac/le-gouvernement-de-la-banque/;BEAC
Bank of Central African States;;Abbas Mahamat Tolli;President / Governor;2017;En cargo;kof;kof_workbook_governors_v2023;https://www.beac.int/beac/le-gouvernement-de-la-banque/;BEAC
Barbados;Central Bank of Barbados;Courtney Blackman;President / Governor;1972;1987;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
Barbados;Central Bank of Barbados;Kurleigh King;President / Governor;1987;1992;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bb;BRB
