PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Véronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;
Robert Vertenueil;Robert Vertenueil;BEL;robert;vertenueil;BEL;;;;;0;0;;;;;;;;
Karel Van Eetvel;Karel Eetvel;BEL;karel;eetvel;BEL;;;;;0;0;;;;;;;;
Sonja De Becker;Sonja Becker;BEL;sonja;becker;BEL;;;;;0;1;;;;;;;;
Pierre Wunsch;Pierre Wunsch;BEL;pierre;wunsch;BEL;;;;;2;0;;;;;;;;
Gregoire Koutentakis;Gregoire Koutentakis;BEL;gregoire;koutentakis;BEL;;;;;0;0;;;;;;;;
Vincent Magnee;Vincent Magnee;BEL;vincent;magnee;BEL;;;;;0;0;;;;;;;;
Danny Assche;Danny Assche;BEL;danny;assche;BEL;;;;;0;0;;;;;;;;
Estelle Cantillo;Estelle Cantillo;BEL;estelle;cantillo;BEL;;;;;0;1;;;;;;;;
Tim Hermans;Tim Hermans;BEL;tim;hermans;BEL;;;;;0;0;;;;;;;;
Géraldine Van der Stichele;Geraldine Stichele;BEL;geraldine;stichele;BEL;;;;;0;1;;;;;;;;
Pieter Verhelst;Pieter Verhelst;BEL;pieter;verhelst;BEL;;;;;0;0;;;;;;;;
Lionel Rouget;Lionel Rouget;BEL;lionel;rouget;BEL;;;;;0;0;;;;;;;;
Dimitri Lhoste;Dimitri Lhoste;BEL;dimitri;lhoste;BEL;;;;;0;0;;;;;;;;
Cedric Frère;Cedric Frere;BEL;cedric;frere;BEL;;;;;0;0;;;;;;;;
Louise Fromont;Louise Fromont;BEL;louise;fromont;BEL;;;;;0;1;;;;;;;;
Bernard Jurion;Bernard Jurion;BEL;bernard;jurion;BEL;;;;;0;0;;;;;;;;
Edwin De Boeck;Edwin Boeck;BEL;edwin;boeck;BEL;;;;;0;0;;;;;;;;
Marjan Maes;Marjan Maes;BEL;marjan;maes;BEL;;;;;0;1;;;;;;;;
Gilles Vandorpe;Gilles Vandorpe;BEL;gilles;vandorpe;BEL;;;;;0;0;;;;;;;;
Adidjatou Mathys;Adidjatou Mathys;BEN;adidjatou;mathys;BEN;2017;4;;;0;1;1956;;;;;;Benin;Porto-Novo
Houessou Yaovi Hadonou;Houessou Hadonou;BEN;houessou;hadonou;BEN;;;;;0;0;;;;;;;;
Oumara Karimou Assouma;Oumara Assouma;BEN;oumara;assouma;BEN;;;;;0;0;;;;;;;;
Alain Michel Komaclo;Alain Komaclo;BEN;alain;komaclo;BEN;;;;;0;0;;;;;;;;
Emmanuel Assilamehoo;Emmanuel Assilamehoo;BEN;emmanuel;assilamehoo;BEN;;;;;0;0;;;;;;;;
Damo Justin Baro;Damo Baro;BFA;damo;baro;BFA;;;;;2;0;;;;;;;;
Damo Justin Baro;Damo Baro;BFA;damo;baro;BFA;;;;;2;0;;;;;;;;
Robert Julienne;Robert Julienne;BFA;robert;julienne;BFA;;;;;2;0;;;;;;;;
Abdoulaye Fadiga;Abdoulaye Fadiga;BFA;abdoulaye;fadiga;BFA;;;;;2;0;;;;;;;;
"Justin Damo Baro
";Justin Baro;BFA;justin;baro;BFA;1983;;1986;;2;0;1952;12;1;;;;Burkina Faso;Toussiana Department
"Philippe-Henri Dakoury-Tabley
";Philippe Dakourytabley;BFA;philippe;dakourytabley;BFA;;;;;2;0;;;;;;;;
Jean-Baptiste M.P. Compaore;Jean Compaore;BFA;jean;compaore;BFA;;;;;1;0;;;;;;;;
A.N.M Hamidullah;A Hamidullah;BGD;a;hamidullah;BGD;;;;;2;0;;;;;;;;
M. Nurul Islam;Nurul Islam;BGD;nurul;islam;BGD;;;;;2;0;;;;;;;;
Sarkar;Lutfar Sarkar;BGD;lutfar;sarkar;BGD;;;;;2;0;;;;;;;;
Dr. Salehuddin Ahmed;A Ahmed;BGD;a;ahmed;BGD;;;;;2;0;;;;;;;;
Shegufta Bakht Chaudhuri ;Shegufta Chaudhuri;BGD;shegufta;chaudhuri;BGD;;;;;2;1;;;;;;;;
A.K.N. Ahmed;A Ahmed;BGD;a;ahmed;BGD;;;;;2;0;;;;;;;;
Khorshed Alam;Khorshed Alam;BGD;khorshed;alam;BGD;;;;;2;0;1935;1;3;"University; Harvard University";;;Bangladesh;Narsingdi
A.K.N. Ahmed;Fakhruddin Ahmed;BGD;fakhruddin;ahmed;BGD;2007;1;2009;1;2;0;1940;5;2;Princeton University;;;Bangladesh;Munshiganj District
Dr. Fakhruddin Ahmed;Fakhruddin Ahmed;BGD;fakhruddin;ahmed;BGD;2007;1;2009;1;2;0;1940;5;2;Princeton University;;;Bangladesh;Munshiganj District
Sanat Kumar Saha;Sanat Saha;BGD;sanat;saha;BGD;;;;;0;0;;;;;;;;
Farashuddin;Mohammed Farashuddin;BGD;mohammed;farashuddin;BGD;;;;;2;0;1942;4;2;Boston University;;;British Raj;Assam Province
