name,iso3
Ernst Stocker,CHE
Ernst Weber,CHE
Eveline Schlumpf,CHE
Franz Marty,CHE
Fritz Leutwiler,CHE
Fritz Zurbrugg,CHE
George Rich,CHE
Gerold Buhrer,CHE
Gottlieb Bachmann,CHE
Hans Meyer,CHE
Hans Raggenbass,CHE
Heinrich Kundert,CHE
Heinz Karrer,CHE
Henri Andre,CHE
Jean Danthine,CHE
Jean Roth,CHE
Jean Studer,CHE
Kathi Bangerter,CHE
Konrad Hummler,CHE
Kurt Hauri,CHE
Laura Sadis,CHE
Marina Masoni,CHE
Markus Lusser,CHE
Martin Kraenzlin,CHE
Martin Schlegel,CHE
Michel Peytrignet,CHE
Monika Butler,CHE
Niklaus Blattner,CHE
Olivier Steimber,CHE
Paul Keller,CHE
Paul Rossy,CHE
Peter Gerber,CHE
Petra Tschudin,CHE
Philipp Hildebrand,CHE
Philippe Pidoux,CHE
Pierre Languetin,CHE
Rajna Brandon,CHE
Renaud Planta,CHE
Rita Fuhrer,CHE
Rodolphe Haller,CHE
Romeo Lacher,CHE
Rosmarie Schlup,CHE
Ruth Luthi,CHE
Serge Gaillard,CHE
Shelby Pasquier,CHE
Simonetta Sommaruga,CHE
Thomas Jordan,CHE
Thomas Moser,CHE
Thomas Wiedmer,CHE
Ueli Forster,CHE
Ulrich Kohli,CHE
Vania Alleva,CHE
Walter Schwegler,CHE
Werner Messmer,CHE
Yvette Jaggi,CHE
* Nci,CHL
Alberto Delloro,CHL
Alberto Naudon,CHL
Alfonso Cuevas,CHL
Alvaro Munoz,CHL
Andres Larre,CHL
Arturo Tornero,CHL
Carlos Abud,CHL
Carlos Contreras,CHL
Carlos Massad,CHL
Carlos Rodriguez,CHL
Carlos Romo,CHL
Claudio Gamboa,CHL
Eduardo Geisse,CHL
Eduardo Quijada,CHL
Enrique Marshall,CHL
Enrique Morel,CHL
Francisco Barcelo,CHL
Hernan Correa,CHL
Joaquin Ruiztagle,CHL
Joaquin Vial,CHL
Jorge Desormeaux,CHL
Jorge Jimenez,CHL
Jorge Marshall,CHL
Jorge Rivera,CHL
Jose Gregorio,CHL
Jose Lewis,CHL
Jose Rebecco,CHL
Jose Rebeco,CHL
Luis Shiell,CHL
Manuel Franzani,CHL
Manuel Marfan,CHL
Manuel Martinez,CHL
Maria Ovalle,CHL
Mario Cullell,CHL
Mario Marcel,CHL
Miguel Rist,CHL
Pablo Garcia,CHL
Pablo Pinera,CHL
Pablo Silva,CHL
Pablo Urzua,CHL
Roberto Mayanz,CHL
Rodrigo Montes,CHL
Rodrigo Urzua,CHL
Rodrigo Vergara,CHL
Rosanna Costa,CHL
Sebastian Claro,CHL
Sebastian Edwards,CHL
Sebastin Claro,CHL
Sergio Fabres,CHL
Sergio Silva,CHL
Stephany Griffithjones,CHL
Vittorio Lioi,CHL
Cao Juru,CHN
Chen Muhua,CHN
Chen Xiyu,CHN
Chen Yuan,CHN
Chen Yulu,CHN
Dai Xianglong,CHN
Fan Yifei,CHN
Guo Shuqing,CHN
Hu Lijiao,CHN
Hu Xiaolian,CHN
Junbo Xiang,CHN
Li Baohua,CHN
Li Guixian,CHN
Li Ruogu,CHN
Liu Guiping,CHN
Liu Guoqiang,CHN
Liu Shiyu,CHN
Liu Tinghuan,CHN
Lu Lei,CHN
Lu Peijian,CHN
Ma Delun,CHN
Nan Hanchen,CHN
Pan Gongsheng,CHN
Su Ning,CHN
Wu Xiaoling,CHN
Xiang Junbo,CHN
Xuan Changneng,CHN
Yi Gang,CHN
Zhang Qingsong,CHN
Zhou Xiaochuan,CHN
Zhu Hexin,CHN
Zhu Rongji,CHN
Abdoulaye Fadig,CIV
Abdoulaye Fadiga,CIV
Alassane Ouattara,CIV
Charles Banny,CIV
Jean Brou,CIV
Jean Compaore,CIV
Justin Baro,CIV
Kanvaly Diomande,CIV
Lansina Bakary,CIV
Mama Ouattara,CIV
Philippe Dacourytabley,CIV
Philippe Dakourytabley,CIV
Philippehenri Dacourytabley,CIV
Robert Julienne,CIV
Tiemoko Kone,CIV
Abbas Tolli,CMR
Casimir Oyemba,CMR
Christian Joudiou,CMR
Jean Mamalepot,CMR
Lucas Nchama,CMR
Philibert Andzembe,CMR
Yvon Bangui,CMR
Anderson Samba,COD
Andre Nkwaluloki,COD
Casimir Head,COD
Charles Nkoso,COD
Deogratias Nyembo,COD
Dieudonne Alimasi,COD
Etienne Kiala,COD
Godefroid Kabul,COD
I Asani,COD
Jean Anyenga,COD
Jean Shabani,COD
Jeanmarie Emungu,COD
Joseph Mushaba,COD
Joseph Mushasa,COD
Jules Assango,COD
Jules Mondanga,COD
Jules Nbagui,COD
Karel Vercruysse,COD
Kikata Ngima,COD
Malangu Mbuyi,COD
Nestor Diambwana,COD
Omer Mbiye,COD
Pambu Pambu,COD
Pierre Syakasighe,COD
William Pambu,COD
Albert Mulimbi,COG
Albert Ndele,COG
Charles Nkosso,COG
Deogratias Nyembo,COG
Godefroid Kabul,COG
Jean Mulongo,COG
Jean Shabani,COG
Joseph Mushasa,COG
Jules Mondanga,COG
Jules Sambwa,COG
Lamy Lamiel,COG
Malangu Mbuyi,COG
Omer Mbiye,COG
Patrice Djamboleka,COG
Pierre Syakasighe,COG
Yvon Bangui,COG
* Nci,COL
Adolfo Roca,COL
Ana Olano,COL
Antonio Hernandez,COL
Arturo Andrade,COL
Bibiana Taboada,COL
Carlos Caballero,COL
Carlos Sanz,COL
Carolina Losada,COL
Cesar Giraldo,COL
Cesar Mejia,COL
Eduardo Robledo,COL
Fernando Galarza,COL
Francisco Ortega,COL
Gerardo Correa,COL
Gerardo Hernandez,COL
German Rios,COL
Hernando Vargasherrera,COL
Hugo Mejia,COL
Ignacio Lizarralde,COL
Jorge Boshell,COL
Jose Escobar,COL
Jose Ocampo,COL
Jose Uribe,COL
Juan Garzon,COL
Juan Jaramillo,COL
Juan Laserna,COL
Juan Perdomo,COL
Juan Soto,COL
Juan Zarate,COL
Leonardo Villargmez,COL
Luis Arango,COL
Mauricio Salamanca,COL
