iso3,country,name,position,start_year,end_year,status
BOL,Bolivia,Raúl Boada Rodríguez,President / Governor,1989,1992,Histórico
BOL,Bolivia,Armando Méndez Morales,President / Governor,1992,1993,Histórico
BOL,Bolivia,Juan Antonio Morales,President / Governor,1996,2006,Histórico
BOL,Bolivia,Raul Garron Claure,President / Governor,2006,2008,Histórico
BOL,Bolivia,Gabriel Loza Telleria,President / Governor,2008,2010,Histórico
BOL,Bolivia,Marcelo Zabalaga Estrada,President / Governor,2010,2017,Histórico
BOL,Bolivia,Pablo Ramos Sanchez,President / Governor,2017,2019,Histórico
BOL,Bolivia,Guillermo Aponte,President / Governor,2019,2020,Histórico
BOL,Bolivia,Agustin Saavedra Weise,President / Governor,2020,2020,Histórico
BOL,Bolivia,Roger Edwin Rojas Ulo,President / Governor,2020,En cargo,Actual
BIH,Bosnia and Herzegovina,Peter Nicholl,President / Governor,1997,2004,Histórico
BIH,Bosnia and Herzegovina,Kemal Kozarić,President / Governor,2005,2015,Histórico
BIH,Bosnia and Herzegovina,Senad Softić,President / Governor,2015,En cargo,Actual
BWA,Botswana,Hermans,President / Governor,1975,1977,Histórico
BWA,Botswana,Leavitt,President / Governor,1978,1980,Histórico
BWA,Botswana,Mogae,President / Governor,1980,1982,Histórico
BWA,Botswana,Kikonygo,President / Governor,1982,1987,Histórico
BWA,Botswana,Gaolathe,President / Governor,1997,1999,Histórico
BWA,Botswana,Linah Mohohlo,President / Governor,1999,2016,Histórico
BWA,Botswana,Moses Dinekere Pelaelo,President / Governor,2016,En cargo,Actual
BRA,Brazil,Ernane Galvêas,President / Governor,1968,1974,Histórico
BRA,Brazil,Paulo Lira,President / Governor,1974,1979,Histórico
BRA,Brazil,Carlos Brandão,President / Governor,1979,1979,Histórico
BRA,Brazil,Ernane Galvêas,President / Governor,1979,1980,Histórico
BRA,Brazil,Carlos Langoni,President / Governor,1980,1983,Histórico
BRA,Brazil,Affonso Pastore,President / Governor,1983,1985,Histórico
BRA,Brazil,Antonio Lemgruber,President / Governor,1985,1985,Histórico
BRA,Brazil,Fernao Bracher,President / Governor,1985,1987,Histórico
BRA,Brazil,Francisco Gros,President / Governor,1987,1987,Histórico
BRA,Brazil,Lycio de Faria,President / Governor,1987,1987,Histórico
BRA,Brazil,Fernando de Oliveira,President / Governor,1987,1988,Histórico
BRA,Brazil,Elmo Camões,President / Governor,1988,1989,Histórico
BRA,Brazil,Wadico Bucchi,President / Governor,1989,1990,Histórico
BRA,Brazil,Ibrahim Eris,President / Governor,1990,1991,Histórico
BRA,Brazil,Francisco Gros,President / Governor,1991,1992,Histórico
BRA,Brazil,Gustavo Loyola,President / Governor,1992,1993,Histórico
BRA,Brazil,Paulo Cesar Ximenes Alves Ferreira,President / Governor,1993,1993,Histórico
