PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Natasha Ahmetaj;Natasha Ahmetaj;ALB;natasha;ahmetaj;ALB;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Andis Harasani;Andis Harasani;ALB;andis;harasani;ALB;2009;;9;;0;0;1971;2;;;;Albania;Tirana;Board member;8;Andis Harasani;https://en.wikipedia.org/wiki/Andis_Harasani;Q13036997;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Luljeta Minxhozi;Luljeta Minxhozi;ALB;luljeta;minxhozi;ALB;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Zeqir Lika;Zeqir Lika;ALB;zeqir;lika;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
	Llazar Gjika;Llazar Gjika;ALB;llazar;gjika;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
	Kamber Myftari;Kamber Myftari;ALB;kamber;myftari;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Qamil Tusha;Qamil Tusha;ALB;qamil;tusha;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dhame Pite;Dhame Pite;ALB;dhame;pite;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Llazi Balliu;Llazi Balliu;ALB;llazi;balliu;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Tefta Çuçi;Tefta Cuci;ALB;tefta;cuci;ALB;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Limos Malaj;Limos Malaj;ALB;limos;malaj;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Halit Xhafa;Halit Xhafa;ALB;halit;xhafa;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
