search_name;iso3;position_original;wikipedia_title;wikipedia_person_url;wikipedia_qid;match_score;match_reason
Heinz Karrer;CHE;Board member;Heinz Karrer;https://en.wikipedia.org/wiki/Heinz_Karrer;Q15814933;35.0;exact_title|name_similarity:1.00
Simonetta Sommaruga;CHE;Board member;Simonetta Sommaruga;https://en.wikipedia.org/wiki/Simonetta_Sommaruga;Q122991;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Philipp Hildebrand;CHE;President / Governor;Philipp Hildebrand;https://en.wikipedia.org/wiki/Philipp_Hildebrand;Q116927;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Thomas Jordan;CHE;President / Governor;Thomas Jordan (economist);https://en.wikipedia.org/wiki/Thomas_Jordan_(economist);Q2425188;42.22222222222222;strong_title|name_similarity:0.72|econ_context|country_hint|role_hint
Barbara Steiner;CHE;Board member;Barbara Steiner;https://en.wikipedia.org/wiki/Barbara_Steiner;Q95206216;40.0;exact_title|name_similarity:1.00|role_hint
Renaud Planta;CHE;Board member;Renaud de Planta;https://en.wikipedia.org/wiki/Renaud_de_Planta;Q97383430;30.96551724137931;partial_title|name_similarity:0.90|econ_context|country_hint
Andrea Maechler;CHE;Board member;Andréa Maechler;https://en.wikipedia.org/wiki/Andréa_Maechler;Q18683282;48.0;exact_title|name_similarity:1.00|econ_context|role_hint
Antoine Martin;CHE;Vice-president / Deputy-governor;Antoine Martin (boxer);https://en.wikipedia.org/wiki/Antoine_Martin_(boxer);Q9156300;26.235294117647058;strong_title|name_similarity:0.82
Martin Schlegel;CHE;Vice-president / Deputy-governor;Martin Schlegel;https://en.wikipedia.org/wiki/Martin_Schlegel;Q117352902;48.0;exact_title|name_similarity:1.00|econ_context|role_hint
Martin Schlegel;CHE;Board member;Martin Schlegel;https://en.wikipedia.org/wiki/Martin_Schlegel;Q117352902;48.0;exact_title|name_similarity:1.00|econ_context|role_hint
Thomas Moser;CHE;Board member;Thomas Moser;https://en.wikipedia.org/wiki/Thomas_Moser;Q992843;35.0;exact_title|name_similarity:1.00
Sergio Silva;CHL;President / Governor;Esperanza Silva;https://en.wikipedia.org/wiki/Esperanza_Silva;Q5840226;16.666666666666664;shared_last_name|name_similarity:0.67|country_hint
Carlos Romo;CHL;Board member;Carlos Romo;https://en.wikipedia.org/wiki/Carlos_Romo;Q28842071;35.0;exact_title|name_similarity:1.00
Carlos Massad;CHL;President / Governor;Carlos Massad;https://en.wikipedia.org/wiki/Carlos_Massad;Q5750927;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Carlos Rodriguez;CHL;President / Governor;Carlos Rodríguez Braun;https://en.wikipedia.org/wiki/Carlos_Rodríguez_Braun;Q16543425;26.421052631578945;strong_title|name_similarity:0.84
Andres Larre;CHL;President / Governor;Juan Andres Larré;https://en.wikipedia.org/wiki/Juan_Andres_Larré;Q3187704;18.275862068965516;partial_title|name_similarity:0.83
Maria Ovalle;CHL;Board member;José Tomás Ovalle;https://en.wikipedia.org/wiki/José_Tomás_Ovalle;Q1709663;24.20689655172414;shared_last_name|name_similarity:0.62|econ_context|country_hint
Alvaro Munoz;CHL;President / Governor;Álvaro Muñoz;https://en.wikipedia.org/wiki/Álvaro_Muñoz;Q16623968;25.0;exact_title|name_similarity:1.00|disambiguation_penalty
Carlos Contreras;CHL;President / Governor;Carlos Contreras Labarca;https://en.wikipedia.org/wiki/Carlos_Contreras_Labarca;Q29032759;43.0;strong_title|name_similarity:0.80|econ_context|country_hint|role_hint
Pablo Pinera;CHL;President / Governor;José Piñera;https://en.wikipedia.org/wiki/José_Piñera;Q664693;29.956521739130434;shared_last_name|name_similarity:0.70|econ_context|country_hint|role_hint
Jorge Desormeaux;CHL;Vice-president / Deputy-governor;Jorge Desormeaux;https://en.wikipedia.org/wiki/Jorge_Desormeaux;Q5934867;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Jorge Jimenez;CHL;Board member;Jorge Jiménez Cantú;https://en.wikipedia.org/wiki/Jorge_Jiménez_Cantú;Q6278171;39.125;strong_title|name_similarity:0.81|econ_context|role_hint
Enrique Marshall;CHL;Board member;Jorge Marshall;https://en.wikipedia.org/wiki/Jorge_Marshall;Q5551906;25.333333333333332;shared_last_name|name_similarity:0.73|econ_context|country_hint
Jorge Jimenez;CHL;Vice-president / Deputy-governor;Jorge Jiménez Cantú;https://en.wikipedia.org/wiki/Jorge_Jiménez_Cantú;Q6278171;39.125;strong_title|name_similarity:0.81|econ_context|role_hint
Manuel Marfan;CHL;Vice-president / Deputy-governor;Manuel Marfán;https://en.wikipedia.org/wiki/Manuel_Marfán;Q5669247;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Jorge Rivera;CHL;Vice-president / Deputy-governor;Jorge Rivera Vicuña;https://en.wikipedia.org/wiki/Jorge_Rivera_Vicuña;Q12176838;29.741935483870968;strong_title|name_similarity:0.77|country_hint
Jorge Marshall;CHL;Vice-president / Deputy-governor;Jorge Marshall;https://en.wikipedia.org/wiki/Jorge_Marshall;Q5551906;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Rosanna Costa;CHL;President / Governor;Rosanna Costa;https://en.wikipedia.org/wiki/Rosanna_Costa;Q6112329;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Jose Gregorio;CHL;Board member;José Gregorio Salazar;https://en.wikipedia.org/wiki/José_Gregorio_Salazar;Q376057;38.64705882352941;strong_title|name_similarity:0.76|econ_context|role_hint
Mario Marcel;CHL;President / Governor;Mario Marcel;https://en.wikipedia.org/wiki/Mario_Marcel;Q5998841;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Pablo Silva;CHL;Board member;Pablo Silva;https://en.wikipedia.org/wiki/Pablo_Silva;Q27988577;35.0;exact_title|name_similarity:1.00
Rodrigo Montes;CHL;Board member;Rodrigo Montes;https://en.wikipedia.org/wiki/Rodrigo_Montes;Q108137717;35.0;exact_title|name_similarity:1.00
Rodrigo Vergara;CHL;Board member;Rodrigo Vergara;https://en.wikipedia.org/wiki/Rodrigo_Vergara;Q3380860;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
