search_name;iso3;position_original;reason
Christopher Hermans;BWA;President / Governor;no_reliable_match
Quill Hermans;BWA;President / Governor;no_reliable_match
U Corea;BWA;Board member;no_reliable_match
G Cunliffe;BWA;President / Governor;no_reliable_match
Keith Jefferis;BWA;Vice-president / Deputy-governor;no_reliable_match
Moses Pelaelo;BWA;President / Governor;no_reliable_match
Moses Pelaelo;BWA;President / Governor;no_reliable_match
Cornelius Dekop;BWA;President / Governor;no_reliable_match
Victoria Lekoma;BWA;Board member;no_reliable_match
Malebogo Bakwena;BWA;Board member;no_reliable_match
Brenton Leavitt;BWA;President / Governor;no_reliable_match
K Jefferis;BWA;President / Governor;no_reliable_match
R Mmutle;BWA;Board member;no_reliable_match
B Moeletsi;BWA;Board member;no_reliable_match
C Botlholemmopi;BWA;Board member;no_reliable_match
J Sentsho;BWA;Board member;no_reliable_match
Jean Mamalepot;CAF;President / Governor;no_reliable_match
Michael Mukete;CAF;President / Governor;no_reliable_match
Rigobert Andely;CAF;Vice-president / Deputy-governor;no_reliable_match
Philibert Andzembe;CAF;Board member;no_reliable_match
Lucas Nchama;CAF;President / Governor;no_reliable_match
Yvon Bangui;CAF;President / Governor;no_reliable_match
Georges Gautier;CAF;President / Governor;no_reliable_match
Emmanuel Rocher;CAF;Board member;no_reliable_match
Allamine Treye;CAF;Board member;no_reliable_match
Gervais Doungoupou;CAF;Board member;no_reliable_match
Pascal Fourcaut;CAF;Board member;no_reliable_match
Gerald Reapp;CAN;President / Governor;no_reliable_match
Bernard Bonin;CAN;Vice-president / Deputy-governor;no_reliable_match
Monique Jeromeforget;CAN;Board member;no_reliable_match
Bonnie Dupont;CAN;Board member;no_reliable_match
David Laidley;CAN;Board member;no_reliable_match
Graeme Thompson;CAN;Vice-president / Deputy-governor;no_reliable_match
Nicholas Pan;CAN;Vice-president / Deputy-governor;no_reliable_match
