PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Juan Carlos Fabrega;Juan Fabrega;ARG;juan;fabrega;ARG;;;;;2;0;;;;;;;;;
Aldo Pignanelli;Aldo Pignanelli;ARG;aldo;pignanelli;ARG;;;;;2;0;;;;;;;;;
Nestor Kirchner;Nestor Kirchner;ARG;nestor;kirchner;ARG;;;;;2;0;;;;;;;;;
Cristina Fernandez de Kirchner;Cristina Kirchner;ARG;cristina;kirchner;ARG;;;;;2;1;;;;;;;;;
Mercedes Marcó del Pont;Mercedes Pont;ARG;mercedes;pont;ARG;;;;;0;1;;;;;;;;;
Alberto Fernández;Alberto Fernandez;ARG;alberto;fernandez;ARG;;;;;1;0;;;;;;;;;
Mauricio Macri;Mauricio Macri;ARG;mauricio;macri;ARG;;;;;2;0;;;;;;;;;
Martin Redrado;Martin Redrado;ARG;martin;redrado;ARG;;;;;0;0;;;;;;;;;
Alejandro Vanoli;Alejandro Vanoli;ARG;alejandro;vanoli;ARG;;;;;2;0;;;;;;;;;
Miguel Ángel Pesce;Miguel Pesce;ARG;miguel;pesce;ARG;;;;;0;0;;;;;;;;;
Alfonso Prat-Gay;Alfonso Pratgay;ARG;alfonso;pratgay;ARG;;;;;2;0;;;;;;;;;
Luis Caputo;Luis Caputo;ARG;luis;caputo;ARG;;;;;2;0;;;;;;;;;
Federico Sturzenegger;Federico Sturzenegger;ARG;federico;sturzenegger;ARG;;;;;2;0;;;;;;;;;
Demian Reidel;Demian Reidel;ARG;demian;reidel;ARG;;;;;1;0;;;;;;;;;
Guido Sandleris;Guido Sandleris;ARG;guido;sandleris;ARG;;;;;2;0;;;;;;;;;
Lucas Llach;Lucas Llach;ARG;lucas;llach;ARG;;;;;1;0;;;;;;;;;
Santiago Bausili;Santiago Bausili;ARG;santiago;bausili;ARG;;;;;2;0;;;;;;;;;
Egidio Iannella;Egidio Iannella;ARG;egidio;iannella;ARG;;;;;0;0;;;;;;;;;
Carlos Bringnone;Carlos Bringnone;ARG;carlos;bringnone;ARG;;;;;2;0;;;;;;;;;
Cassino;Alfredo Cassino;ARG;alfredo;cassino;ARG;;;;;2;0;;;;;;;;;
Gomez;* Gomez;ARG;*;gomez;ARG;;;;;2;0;;;;;;;;;
Conception;* Conception;ARG;*;conception;ARG;;;;;2;0;;;;;;;;;
